droga;czas[s];;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,276068211;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,241330862;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,238031626;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,263415813;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,252046108;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,224020958;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,235031128;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,235613585;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,259052753;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,239122868;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,236527205;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,23503089;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,296087027;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,250620127;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,231529474;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,241036415;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,221152306;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,241200447;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,244557381;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,26005435;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,244064093;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,246040106;;;;;;
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,231027126;;;;;;
