droga;koszt;czas[s];;;;;;;
[10];269;22,40638018;;;;;;;
[10];269;22,41248441;;;;;;;
[10];269;22,37970281;;;;;;;
[10];269;22,37703633;;;;;;;
[10];269;22,40569878;;;;;;;
[10];269;22,38237405;;;;;;;
[10];269;22,36001015;;;;;;;
[10];269;22,44940162;;;;;;;
[10];269;22,39735389;;;;;;;
[10];269;22,46448827;;;;;;;
[10];269;22,41837335;;;;;;;
[10];269;22,37833643;;;;;;;
[10];269;22,37333155;;;;;;;
[10];269;22,40235758;;;;;;;
[10];269;22,36432385;;;;;;;
[10];269;22,38033843;;;;;;;
[10];269;22,40336013;;;;;;;
[10];269;22,36031985;;;;;;;
[10];269;22,47070575;;;;;;;
[10];269;22,69862771;;;;;;;
[10];269;22,80472445;;;;;;;
[10];269;22,79971981;;;;;;;
[10];269;22,81473351;;;;;;;
[10];269;23,25130415;;;;;;;
[10];269;22,74989319;;;;;;;
[10];269;22,77169394;;;;;;;
[10];269;22,81758118;;;;;;;
[10];269;22,82974815;;;;;;;
[10];269;22,83779573;;;;;;;
[10];269;22,81554914;;;;;;;
[10];269;22,8341713;;;;;;;
[10];269;22,80750012;;;;;;;
[10];269;22,75204587;;;;;;;
[10];269;22,81402421;;;;;;;
[10];269;22,81643414;;;;;;;
[10];269;22,85735393;;;;;;;
[10];269;22,85519838;;;;;;;
[10];269;22,90054774;;;;;;;
[10];269;22,93775249;;;;;;;
[10];269;22,99547529;;;;;;;
[10];269;22,94561315;;;;;;;
[10];269;23,0653882;;;;;;;
[10];269;23,04334259;;;;;;;
[10];269;22,94599128;;;;;;;
[10];269;23,00285864;;;;;;;
[10];269;23,0594883;;;;;;;
[10];269;23,0155592;;;;;;;
[10];269;22,91076922;;;;;;;
[10];269;22,7834816;;;;;;;
[10];269;22,79651737;;;;;;;
[10];269;22,83775473;;;;;;;
[10];269;22,89881063;;;;;;;
[10];269;22,80200934;;;;;;;
[10];269;22,87979245;;;;;;;
[10];269;22,93647075;;;;;;;
[10];269;22,82073879;;;;;;;
[10];269;22,96942472;;;;;;;
[10];269;23,02174067;;;;;;;
[10];269;22,96869731;;;;;;;
[10];269;22,9668715;;;;;;;
[10];269;22,90797639;;;;;;;
[10];269;22,88818121;;;;;;;
[10];269;22,94385123;;;;;;;
[10];269;22,87178564;;;;;;;
[10];269;22,85476899;;;;;;;
[10];269;22,95185709;;;;;;;
[10];269;22,89987707;;;;;;;
[10];269;22,89773965;;;;;;;
[10];269;22,93582916;;;;;;;
[10];269;22,88783884;;;;;;;
[10];269;22,88779998;;;;;;;
[10];269;22,91371417;;;;;;;
[10];269;22,86978364;;;;;;;
[10];269;22,94785523;;;;;;;
[10];269;22,91082025;;;;;;;
[10];269;22,86377883;;;;;;;
[10];269;22,88079286;;;;;;;
[10];269;22,74585843;;;;;;;
