droga;czas[s]
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2350308895111084
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,24504017829895
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,250967502593994
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,205002784729004
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,256049871444702
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2440388202667236
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2370333671569824
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2440385818481445
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,247042179107666
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2410361766815186
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,209007978439331
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2440390586853027
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,213010311126709
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2140121459960938
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,242037296295166
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2160141468048096
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,1949944496154785
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,231027126312256
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2330288887023926
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2110087871551514
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,215013265609741
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,215012550354004
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,230026960372925
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2280240058898926
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2320284843444824
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2250216007232666
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2220191955566406
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2240209579467773
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2210183143615723
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2270238399505615
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,210007905960083
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2540488243103027
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,213010311126709
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,215012788772583
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,236032724380493
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2640573978424072
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2370314598083496
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2340307235717773
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,24123215675354
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,251044988632202
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2760682106018066
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,241330862045288
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2380316257476807
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,263415813446045
[0, 3, 4, 2, 8, 7, 6, 9, 1, 5];2,2520461082458496
